Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
10,-0.01058366785265269,-0.03642621198849338,-3.16992051855383
10.31177274593055,-0.01192482720065962,-0.03726774435160007,-3.27117615968233
10.63326571637161,-0.01308910906548555,-0.03871562271533535,-3.372882371061706
10.96478196143185,-0.01443484515926346,-0.0401572988993589,-3.477509125543392
11.30663397949639,-0.01620841683901428,-0.0414579037528786,-3.58437282337401
11.65914401179832,-0.01792341882726564,-0.04293038727723493,-3.694622384385113
12.02264434617413,-0.01932511196412878,-0.04471360452664184,-3.80889375746365
12.39747763028944,-0.02101603083033966,-0.04650692216534357,-3.926928509839623
12.78399719463024,-0.02294190312627034,-0.04828836234787812,-4.047453721436966
13.18256738556408,-0.02485693617926816,-0.05007414768142115,-4.171259624903286
13.59356390878525,-0.02677125851115276,-0.05256092297406933,-4.301512025168286
14.0173741834677,-0.02918055983910949,-0.05414790497764741,-4.433336904965174
14.45439770745927,-0.0315441423654691,-0.05659914375180743,-4.57008540189085
14.90504643386196,-0.03377510536204746,-0.05884332780634209,-4.711210820327821
15.36974515935272,-0.03664678444617418,-0.06097819616117624,-4.855629059626793
15.84893192461113,-0.03920509672872372,-0.06390401831157951,-5.005887694885246
16.34305842723138,-0.04217008186699783,-0.0665408387504407,-5.158911016188881
16.85259044750751,-0.04523394274595122,-0.06954962129927919,-5.317209150995325
17.37800828749376,-0.04839377031226026,-0.07232108659491533,-5.481026369456146
17.91980722375334,-0.05176445768392498,-0.07539739054756296,-5.647511034114842
18.47849797422291,-0.05537183902341979,-0.07873956089236168,-5.820065479326587
19.05460717963247,-0.05921969628918657,-0.08210597688842537,-5.999287549954687
19.64867789993468,-0.06338336185716585,-0.08570462257670282,-6.18330124406512
20.26127012621143,-0.06743321231653043,-0.09007966190994474,-6.372128488927501
20.8929613085404,-0.07210096154424153,-0.09436282916800155,-6.566100205132869
21.54434690031883,-0.0768510520482977,-0.09850835685573217,-6.76744566706347
22.21604091955812,-0.08195109627436831,-0.1028308228236473,-6.973615793594064
22.90867652767772,-0.08739005694149896,-0.1078916628537992,-7.186382817312932
23.62290662634462,-0.09295516401240209,-0.1130282782603465,-7.404797794499643
24.35940447292027,-0.09885554734535318,-0.1185039189884422,-7.629775046760429
25.1188643150958,-0.105233331103135,-0.1239731423307283,-7.863792942828013
